time	xaccel	yaccel	xaccel_filtered	yaccel_filtered
0.040999889	0.000000000	-0.600000024	0.000000000	-0.600000024
0.060999889	0.243478241	-0.765217398	1.552904516	0.206021716
0.080999889	3.406521269	2.181303748	3.039732810	0.381326789
0.100999889	4.483333160	-0.730016236	4.227626927	-0.105896691
0.120999889	5.276006173	-1.643991818	4.817953776	-0.738491042
0.140999889	4.136985547	-0.666996311	4.695745462	-1.012776278
0.160999889	4.356011220	-1.061006489	4.006485681	-0.833371560
0.180999889	2.243291515	1.080038318	3.005818985	-0.401654188
0.200999889	1.753501091	-0.149619367	1.937090390	0.078544679
0.220999889	2.369987382	-1.576636140	1.069311469	0.469732934
0.240999889	1.193768988	0.837652493	0.690741210	0.608856809
0.260999889	-1.297341272	2.796010097	0.881644499	0.362894822
0.280999889	1.354832369	-1.282250468	1.304306632	-0.178810819
0.300999889	2.820028573	-0.827479510	1.403511736	-0.700209483
0.320999889	1.558208093	-2.323534948	0.947948358	-0.941437210
0.340999889	-0.844401541	-0.437704031	0.319281992	-0.935727249
0.360999889	-0.981666376	1.485575730	0.142472424	-0.899826831
0.380999889	1.737522027	-1.877568237	0.618112904	-0.942329265
0.400999889	2.162781671	-3.275224383	1.308236013	-0.966830364
0.420999889	0.894024753	0.343545196	1.609524763	-0.822539401
0.440999889	0.999570357	0.239028786	1.351991849	-0.426001616
0.460999889	0.801024821	0.992187033	0.869516434	0.264980285
0.480999889	0.809490558	0.581514048	0.563776681	1.223743077
0.500999889	0.941300211	0.637426646	0.535611113	2.181702093
0.520999889	0.469984320	2.856059372	0.645709186	2.609244237
0.540999889	0.309118670	4.146305236	0.778007864	2.106535484
0.560999889	1.518678667	0.778220369	0.910408967	0.876373561
0.580999889	0.310010969	-2.099985088	0.975643181	-0.341588818
0.600999889	1.093346618	-1.041648689	0.812686864	-0.922992214
0.620999889	1.021422547	0.030975053	0.337131807	-0.877581415
0.640999889	-0.827554155	-0.465023339	-0.298307123	-0.639699644
0.660999889	-1.304086461	0.098213101	-0.795770638	-0.464700922
0.680999889	-0.668064669	-0.733397092	-0.968921715	-0.245452073
0.700999889	-0.375458246	-1.572732505	-0.871944531	0.081066373
0.720999889	-0.653824910	0.531102434	-0.682448592	0.224462713
0.740999889	-0.957277189	2.410413832	-0.504599265	-0.144680999
0.760999889	-0.677235693	-0.697967846	-0.300386748	-0.880610278
0.780999889	0.333371793	-4.822069287	0.022526842	-1.423365504
0.800999889	1.266704772	-1.110959513	0.473956115	-1.421887353
0.820999889	0.893251578	0.769985251	0.898481286	-1.100150603
0.840999889	-0.680823854	0.242638517	1.015432759	-0.896142727
0.860999889	1.310000774	-1.830101782	0.616536351	-0.914711779
0.880999889	1.188944907	-4.008850298	-0.173817037	-0.946679923
0.900999889	-1.629995507	1.409956493	-0.838844514	-0.923948349
0.920999889	-1.477615654	-0.066223619	-0.802503428	-1.028657960
0.940999889	0.412764716	-1.694576439	0.047745121	-1.252292026
0.960999889	1.466517112	-1.718994970	1.169592559	-1.156449082
0.980999889	1.563042611	-0.534321828	1.789777174	-0.413447837
1.000999889	1.876676535	-0.135833510	1.578985049	0.493361191
1.020999889	0.782671156	1.446430595	0.891408336	0.524041353
1.040999889	-0.201970400	0.373854950	0.331576723	-0.724491455
1.060999889	0.481988343	-3.561973117	0.149785132	-2.284482436
1.080999889	0.242862993	-2.777619455	0.120241339	-2.624521426
1.100999889	0.166650572	-1.736596970	-0.051868136	-1.245193524
1.120999889	-0.500009682	1.344338158	-0.354341351	0.763797905
1.140999889	-0.927271809	3.157247640	-0.555617720	1.886927477
1.160999889	-0.729994308	0.946662186	-0.551019651	1.720751629
1.180999889	0.070005402	0.324440210	-0.465227410	1.130542922
1.200999889	0.073321390	0.493346571	-0.403171835	0.972840920
1.220999889	-0.875996786	1.997013575	-0.249668766	1.026424016
1.240999889	-0.309077200	1.646319825	0.156993490	0.414486650
1.260999889	0.929532550	-2.094782349	0.692861963	-1.077743547
1.280999889	1.737497494	-4.089995057	0.932525884	-2.450611286
1.300999889	0.054159174	-0.823318812	0.545083568	-2.406229989
1.320999889	-0.358182300	-0.452726959	-0.327084497	-0.716494044
1.340999889	-1.559530097	1.077627155	-1.134890676	1.437220077
1.360999889	-1.037269963	2.237275520	-1.361469583	2.461965053
1.380999889	-0.465831828	1.647495043	-0.892999231	1.655078968
1.400999889	-0.247272566	-0.253645631	-0.036524874	-0.346292129
1.420999889	0.333045714	-2.142175374	0.715739726	-2.172701063
1.440999889	1.204090439	-2.739999672	0.945137462	-2.722753138
1.460999889	0.465457624	-1.915917743	0.499917293	-1.811187338
1.480999889	-0.636364061	1.039104237	-0.392025398	-0.161431555
1.500999889	-0.563637047	-1.179070063	-1.201403579	1.140799422
1.520999889	-1.584337400	2.493439873	-1.449261522	1.382770811
1.540999889	-1.705455960	1.602753311	-1.115375187	0.686748232
1.560999889	-0.862011854	-0.309981174	-0.675496197	-0.156634212
1.580999889	0.292278878	-2.138560624	-0.630784392	-0.397126650
1.600999889	-0.961887730	0.963767959	-0.971662142	0.013325407
1.620999889	-1.597132128	1.419997462	-1.175762743	0.414457467
1.640999889	-1.232643512	-0.555209719	-0.783398325	0.094736859
1.660999889	0.079968931	-1.770975805	0.071421935	-1.028176501
1.680999889	1.946315375	-1.610007498	0.762111354	-2.342271270
1.700999889	0.282064084	-3.205948066	0.775993320	-3.088228800
1.720999889	-0.411218777	-2.921246452	0.157695500	-2.942484192
1.740999889	-0.637749279	-2.047777528	-0.628641767	-2.132551284
1.760999889	-0.864279782	-1.174308604	-1.163896439	-1.113774228
1.780999889	-1.090810285	-0.300839680	-1.346562648	-0.199159458
1.800999889	-1.317340787	0.572629244	-1.317340787	0.572629244
